LYBNo|SaleDate|ShopCode|SalesMemoNo|GTIN|GTINDescription|QuantitySold|NetSales|ExtractionDate
LYB001191497|2024-02-22|0303|25014448|19994|EDT CHOICE VIBRANT BERGAMOT 50ML A0X|1.0|135.15|2024-02-22
LYB006673118|2024-02-22|0363|24606173|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|16.5|2024-02-22
LYB007400324|2024-02-22|0389|24805769|98130|FRAGRANCE MIST WHITE MUSK 100ML A0X RENO 2021|1.0|67.5|2024-02-22
LYB005943834|2024-02-22|0359|23014889|37698|BODY POLISH ECLYP & RSMRY FLOW 200ML A0X |1.0|134.25|2024-02-22
LYB010708156|2024-02-22|0607|81015814|18766|BODY MIST CHOICE REBEL ROSEBUD 100ML A0X|1.0|60.0|2024-02-22
LYB010223813|2024-02-22|0903|25903784|95778|DEEP CLEANSER ENERGISING GUARANA & COFFEE 150ML A0X 2021|1.0|59.25|2024-02-22
LYB004654580|2024-02-22|0505|2680803|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB002893185|2024-02-22|0345|43020526|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB010883208|2024-02-22|0363|24606163|97152|EDT WHITE MUSK LEAU 60ML A0X RENO 2021|1.0|169.0|2024-02-22
LYB008168980|2024-02-22|0503|18808342|25325|SHOWER GEL PEPPERMINT 250ML A0X 2024|1.0|33.75|2024-02-22
LYB010883703|2024-02-22|8701|19805595|94684|BATH GLOVES CREAM A0 2019|1.0|18.75|2024-02-22
LYB000276250|2024-02-22|0909|9908735|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|1.0|98.0|2024-02-22
LYB001724912|2024-02-22|0332|63013669|26076|SHOWER GEL SATSUMA 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010216947|2024-02-22|0709|5508915|18959|HAIR SERUM GRAPESEED 60ML 2022|1.0|45.0|2024-02-22
LYB009864483|2024-02-22|0907|4708314|26029|CONDITIONER SHEA 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB006727987|2024-02-22|0362|48012246|19363|SHOWER GEL BRITISH ROSE 750ML A0X RENO 2022|1.0|98.0|2024-02-22
LYB006503721|2024-02-22|0902|23305672|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010121700|2024-02-22|0502|32011190|26075|SHOWER GEL MORINGA 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010884182|2024-02-22|0606|145014497|31401|HAND BALM ALMOND MILK 30ML A0X RENO 2023|2.0|52.5|2024-02-22
LYB010883837|2024-02-22|0364|26303213|26554|CLEANSER CREAM ALOE 125ML RENO 2023|1.0|59.25|2024-02-22
LYB010884289|2024-02-22|0712|2660726|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB006898124|2024-02-22|0368|137030562|19366|SHOWER CREAM ALMOND MILK 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB001247990|2024-02-22|0303|25014443|23547|SHOWER GEL SATSUMA 250ML A0X RENO 2023|1.0|35.0|2024-02-22
LYB010883633|2024-02-22|0607|81015810|95778|DEEP CLEANSER ENERGISING GUARANA & COFFEE 150ML A0X 2021|1.0|67.15|2024-02-22
LYB000418643|2024-02-22|0332|63013659|33429|FACE WASH TEA TREE 250ML AX RENO 2023|1.0|65.0|2024-02-22
LYB007397640|2024-02-22|0355|9506442|10279|PERFUME OIL BLACK MUSK 20ML A0X RENO 2021|1.0|104.25|2024-02-22
LYB010599868|2024-02-22|0904|4607963|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB003327342|2024-02-22|0606|145014494|41998|BODY BUTTER SATSUMA 50ML A0X RENO 2023|1.0|12.0|2024-02-22
LYB010883864|2024-02-22|0343|212011223|97909|SHAMPOO GINGER 250ML RENO 2021|1.0|50.15|2024-02-22
LYB010262520|2024-02-22|0718|6501762|97523|SHOWER GEL MORINGA 250ML A0X RENO 2022|1.0|38.06|2024-02-22
LYB000724331|2024-02-22|0359|23014883|38357|SHOWER CREAM VNLLA PMPKN 250ML 2023 A0X|1.0|45.0|2024-02-22
LYB000932718|2024-02-22|0908|14306448|16495|FACE BASE TEA TREE MEDIUM 2C 9G A0X (Refill)|1.0|87.2|2024-02-22
LYB010223813|2024-02-22|0903|25903784|26076|SHOWER GEL SATSUMA 750ML A0X RENO 2022|1.0|73.5|2024-02-22
LYB010703762|2024-02-22|0504|2760450|37033|BODY YOGURT AVOCADO 200ML A0X RENO 2023|1.0|64.0|2024-02-22
LYB003012671|2024-02-22|0310|129036698|38363|FACE WASH TEA TREE 60ML A0X RENO 2023|1.0|7.0|2024-02-22
LYB001423970|2024-02-22|0403|12202125|18412|FACE WASH TEA TREE 250ML A0X 2022 (x)|1.0|50.0|2024-02-22
LYB000436214|2024-02-22|0507|25104896|15666|OOL EYE CREAM-GEL 20ML A0X 2022|2.0|240.0|2024-02-22
LYB010884021|2024-02-22|0340|22907043|97512|BODY YOGURT BRITISH ROSE 200ML A0X RENO 2022|1.0|68.0|2024-02-22
LYB010883624|2024-02-22|8701|19805594|97393|BODY LOTION SHEA 200ML A0X RENO 2021|1.0|53.0|2024-02-22
LYB010883651|2024-02-22|0702|153017420|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB010884313|2024-02-22|0333|24023563|97370|BODY BUTTER SHEA 200ML RENO A0X 2021|1.0|94.4|2024-02-22
LYB006372680|2024-02-22|ECOM|90039785|55224|FACIAL MASK RECIPES OF NATURE COFFEE 15ML A0X 2020|1.0|42.0|2024-02-22
LYB001931707|2024-02-22|0332|63013665|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB001813845|2024-02-22|0361|69012778|33587|SHAMPOO GINGER 400ML A21X RENO 2023|1.0|75.0|2024-02-22
LYB004833345|2024-02-22|0334|94021474|25310|FOOT TREATMENT PEPPERMINT 100ML A0 RENO 2023|1.0|59.25|2024-02-22
LYB010883882|2024-02-22|0502|32011188|16670|FACE BASE TEA TREE COMPACT FOR LIFE A0X (Casing only)|1.0|41.65|2024-02-22
LYB010203563|2024-02-22|0368|137030537|34542|BODY LOTION BRITISH ROSE 200ML RENO A0X 2023|1.0|60.0|2024-02-22
LYB008386920|2024-02-22|0352|124015975|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|22.0|2024-02-22
LYB009949650|2024-02-22|0368|135025100|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|1.0|33.75|2024-02-22
LYB010884164|2024-02-22|8806|231011227|98052|EDT BRITISH ROSE 100ML RENO A0X 2021|1.0|109.0|2024-02-22
LYB001332155|2024-02-22|0343|212011218|12745|HAND CREAM LOVE & PLUM 30ML XM21 A0X|1.0|24.0|2024-02-22
LYB008464976|2024-02-22|0368|135025102|15584|REFILL BOTTLE ALUMINIUM 300ML|1.0|16.15|2024-02-22
LYB009935569|2024-02-22|0389|24805767|97895|CONDITIONER SHEA 250ML A0X RENO 2021|1.0|44.25|2024-02-22
LYB010299542|2024-02-22|0413|113011292|97152|EDT WHITE MUSK LEAU 60ML A0X RENO 2021|1.0|100.0|2024-02-22
LYB010883943|2024-02-22|8806|231011221|19201|BODY LOTION WHITE MUSK 250ML RENO A0X 2022|2.0|153.0|2024-02-22
LYB002893185|2024-02-22|0345|43020526|13254|HAND BALM AVOCADO 30ML A0X|1.0|26.25|2024-02-22
LYB001431793|2024-02-22|8902|8908539|17271|SHOWER SCRUB BRITISH ROSE 50ML A0X RENO 2022|1.0|39.0|2024-02-22
LYB000515201|2024-02-22|0328|39016767|15964|LIP BALM SKIN DEFENCE SPF30 4G A0X|1.0|50.0|2024-02-22
LYB008574820|2024-02-22|0342|123015434|94655|BRUSH CACTUS LONG HANDLE A0 2018|1.0|81.75|2024-02-22
LYB008478793|2024-02-22|0412|52021231|98147|EDT WHITE MUSK FLORA 60ML A0X RENO 2021|1.0|126.75|2024-02-22
LYB002418489|2024-02-22|0411|151020877|33277|SHOWER GEL MORINGA 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB008409160|2024-02-22|0411|151020866|34542|BODY LOTION BRITISH ROSE 200ML RENO A0X 2023|1.0|60.0|2024-02-22
LYB002525813|2024-02-22|0706|141017433|26074|SHOWER GEL OLIVE 750ML A0X RENO 2022|2.0|147.0|2024-02-22
LYB000827610|2024-02-22|0332|63013661|26256|CONDITIONER GINGER 60ML A0X RENO 2022|1.0|0.0|2024-02-22
LYB002578143|2024-02-22|0343|212011208|88655|PINK BATH LILY A0 2019|1.0|21.25|2024-02-22
LYB009764952|2024-02-22|0503|18808335|42731|SHOWER GEL LOVE & PLUM 250ML A0X RENO 2023|1.0|38.25|2024-02-22
LYB003355275|2024-02-22|0399|93013320|97386|BODY BUTTER SHEA 50ML RENO A0X 2021|1.0|42.0|2024-02-22
LYB006365981|2024-02-22|0303|25014442|18959|HAIR SERUM GRAPESEED 60ML 2022|1.0|48.0|2024-02-22
LYB004792011|2024-02-22|0712|2660721|33275|SHOWER GEL STRAWBERRY 60ML A0X RENO 2023|1.0|0.0|2024-02-22
LYB010883819|2024-02-22|0402|5108172|97152|EDT WHITE MUSK LEAU 60ML A0X RENO 2021|1.0|126.75|2024-02-22
LYB010508097|2024-02-22|0909|9908739|97027|OOL FACIAL OIL 50ML AOX 2021|1.0|216.75|2024-02-22
LYB010883998|2024-02-22|0323|117011547|37705|HAIR & BODY WASH LAV & VETIVER CALM 200ML A0X |1.0|84.15|2024-02-22
LYB004781167|2024-02-22|0342|123015423|98074|EDT ARBER 100ML 2022|1.0|126.75|2024-02-22
LYB006467003|2024-02-22|8803|5907512|27752|CLEANSING POLISH DAILY GLOW VIT C 100ML A0X RENO 2023|1.0|75.65|2024-02-22
LYB007370700|2024-02-22|0343|212011213|97381|BODY BUTTER MANGO 50ML RENO A0X 2021|2.0|63.0|2024-02-22
LYB003773897|2024-02-22|0368|135025101|15516|HAND BALM MANGO 30ML A0X RENO 2023|1.0|26.25|2024-02-22
LYB010883536|2024-02-22|0353|44012005|97507|BODY YOGURT ALMOND MILK 200ML A0X RENO 2022|13.0|780.0|2024-02-22
LYB008514943|2024-02-22|0327|21014771|10347|SHAMPOO GINGER RENO 60ML A21X|1.0|0.0|2024-02-22
LYB010865220|2024-02-22|0327|21014780|18959|HAIR SERUM GRAPESEED 60ML 2022|1.0|45.0|2024-02-22
